UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Administración de Empresas,En línea,Unidad Profesional,,1,Administración,ADM-MAD-001,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,2,Fundamentos de Contabilidad,ADM-MAD-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,3,Habilidades gerenciales,ADM-MAD-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,4,Humanismo Universidad y Cultura,ADM-MAD-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,5,Fundamentos Matemáticos,ADM-MAD-005,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,6,Administración del talento humano,ADM-MAD-006,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,7,Introducción a la Economía,ADM-MAD-007,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,8,Estadística Básica,ADM-MAD-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,1,Sistema de costos,ADM-MAD-009,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,2,Álgebra Lineal,ADM-MAD-010,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,3,Legislación Empresarial,ADM-MAD-011,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,4,Teoría Microeconómica,ADM-MAD-012,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,5,Técnicas de inferencia estadística,ADM-MAD-013,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,6,Comportamiento Organizacional,ADM-MAD-014,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,7,Antropología básica,ADM-MAD-015,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,8,Derecho tributario,ADM-MAD-016,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,1,Matemática Financiera,ADM-MAD-017,Obligatoria,144,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,2,Teoría Macroeconómica,ADM-MAD-018,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,3,Marketing,ADM-MAD-019,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,4,Investigación de Mercados,ADM-MAD-020,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,5,Ética y moral,ADM-MAD-021,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,6,Prácticum 1,ADM-MAD-022,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,7,Finanzas operativas,ADM-MAD-023,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,8,Administración de operaciones y procesos,ADM-MAD-024,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,1,Gestión del conocimiento,ADM-MAD-025,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
UTPL,Administración de Empresas,En línea,Unidad Profesional,,2,Sostenibilidad empresarial,ADM-MAD-026,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20mad%20utpl_0.pdf
