UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,1,Administración,ADM-PRE-001,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,2,Fundamentos de Contabilidad,ADM-PRE-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,3,Habilidades gerenciales,ADM-PRE-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,4,Humanismo Universidad y Cultura,ADM-PRE-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,5,Fundamentos Matemáticos,ADM-PRE-005,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,6,Administración del talento humano,ADM-PRE-006,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,7,Introducción a la Economía,ADM-PRE-007,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,8,Estadística Básica,ADM-PRE-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,1,Sistema de costos,ADM-PRE-009,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
UTPL,Administración de Empresas,Presencial,Unidad Profesional,,2,Álgebra Lineal,ADM-PRE-010,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20admin%20empresas%20pres.pdf
