UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,1,Legislación mercantil y societaria,CON-MAD-001,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,2,Fundamentos de contabilidad,CON-MAD-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,3,Humanismo universidad y cultura,CON-MAD-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,4,Matemática básica,CON-MAD-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,5,Epistemología de la contabilidad y auditoría,CON-MAD-005,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,6,Fundamentos de economía,CON-MAD-006,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,7,Derecho laboral,CON-MAD-007,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,8,Contabilidad financiera,CON-MAD-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,1,Antropología básica,CON-MAD-009,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,2,Álgebra lineal,CON-MAD-010,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
UTPL,Contabilidad y Auditoría,En línea,Unidad Profesional,,3,Derecho tributario,CON-MAD-011,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20contabilidad%20mad%20utpl_0.pdf
