UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,1,Legislación mercantil y societaria,CON-PRE-001,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,2,Fundamentos de contabilidad,CON-PRE-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,3,Humanismo universidad y cultura,CON-PRE-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,4,Matemática básica,CON-PRE-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,5,Epistemología de la contabilidad y auditoría,CON-PRE-005,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,6,Fundamentos de economía,CON-PRE-006,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,7,Derecho laboral,CON-PRE-007,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,8,Contabilidad financiera,CON-PRE-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,1,Antropología básica,CON-PRE-009,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,2,Álgebra lineal,CON-PRE-010,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,3,Derecho tributario,CON-PRE-011,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,4,Estadística básica,CON-PRE-012,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,5,Matemática financiera,CON-PRE-013,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
UTPL,Contabilidad y Auditoría,Presencial,Unidad Profesional,,6,Contabilidad financiera avanzada,CON-PRE-014,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/MALLA%20CONTABILIDAD%20Y%20AUDITOR%C3%8DA%20-%20PRESENCIAL.pdf
