UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Filosofía e historia de la educación,EDB-MAD-001,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Política pública y marco legal en la educación,EDB-MAD-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,"Educación, cultura y subjetividad",EDB-MAD-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,4,Educación tecnología y sociedad,EDB-MAD-004,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,5,Pedagogía,EDB-MAD-005,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,6,Teorías y modelos curriculares,EDB-MAD-006,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,7,Didáctica para la enseñanza y el aprendizaje,EDB-MAD-007,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,8,Sociología de la educación,EDB-MAD-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Gestión del currículo para la educación básica,EDB-MAD-009,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Didáctica de la lengua y literatura en la educación básica,EDB-MAD-010,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,Didáctica de las ciencias sociales en la educación básica,EDB-MAD-011,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,4,"Humanismo, universidad y cultura",EDB-MAD-012,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,5,Neurociencia y psicología del desarrollo,EDB-MAD-013,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,6,Didáctica de las ciencias naturales en la educación básica,EDB-MAD-014,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,7,Didáctica de la matemática en la educación básica,EDB-MAD-015,Obligatoria,192,4,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,8,Evaluación de los aprendizajes,EDB-MAD-016,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Introducción a la investigación,EDB-MAD-017,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Practicum I. Diagnóstico a la praxis educativa,EDB-MAD-018,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,Clima de aula y ambientes de aprendizaje,EDB-MAD-019,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,4,Adaptaciones curriculares para las dificultades del aprendizaje y la inclusión educativa,EDB-MAD-020,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,5,Itinerario 1: Pensamiento verbal en el desarrollo integral,EDB-MAD-021,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,6,Itinerario 2: Hábitos y comportamientos para el desarrollo integral del niño,EDB-MAD-022,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,7,Métodos de la investigación,EDB-MAD-023,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,8,Practicum II. Gestión del proceso de enseñanza-aprendizaje,EDB-MAD-024,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Gestión escolar y desarrollo comunitario,EDB-MAD-025,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Educación inclusiva y aprendizaje sostenible,EDB-MAD-026,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,Itinerario 1: Pensamiento abstracto en el desarrollo integral,EDB-MAD-027,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,4,Itinerario 2: Desarrollo integral perceptivo,EDB-MAD-028,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,5,Proyectos de investigación,EDB-MAD-029,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,6,Lectura y redacción de textos académicos,EDB-MAD-030,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,7,Practicum III. Servicio comunitario: intervención educativa,EDB-MAD-031,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,8,"Trabajo colaborativo: Escuela, familia y comunidad",EDB-MAD-032,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Itinerario 1: Pensamiento lógico matemático en el desarrollo integral,EDB-MAD-033,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Itinerario 2: Desarrollo de la creatividad y la comunicación,EDB-MAD-034,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,Desarrollo de la investigación,EDB-MAD-035,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,4,Antropología básica,EDB-MAD-036,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,5,Tecnologías para la innovación educativa,EDB-MAD-037,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,6,Prácticum 4.1: Trabajo de integración curricular/Examen complexivo,EDB-MAD-038,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,7,Formación y desarrollo profesional docente,EDB-MAD-039,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,8,Educación formal en contextos rurales,EDB-MAD-040,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,1,Perspectiva de desarrollo laboral,EDB-MAD-041,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,2,Emprendimiento,EDB-MAD-042,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
UTPL,Educación Básica,En línea,Unidad Profesional,,3,Ética y moral,EDB-MAD-043,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20edu%20basica%20mad%20utpl.pdf
