UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Psicología,En línea,Unidad Profesional,,1,Fundamentos históricos y teóricos de la psicología,PSI-MAD-001,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,2,Bases biológicas,PSI-MAD-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,3,Procesos psicológicos básicos I,PSI-MAD-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,4,Psicología social,PSI-MAD-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,5,Humanismo universidad y cultura,PSI-MAD-005,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,6,Lectura y redacción de textos académicos,PSI-MAD-006,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,7,Psicología de la personalidad,PSI-MAD-007,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,8,Psicología de la familia,PSI-MAD-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,1,Procesos psicológicos básicos II,PSI-MAD-009,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
UTPL,Psicología,En línea,Unidad Profesional,,2,Desarrollo de la infancia,PSI-MAD-010,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/carrera%20psicologia%20mad%20utpl_1.pdf
