UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL_ARCHIVO_MALLA
UTPL,Psicología,Presencial,Unidad Profesional,,1,Fundamentos históricos y teóricos de la psicología,PSI-PRE-001,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,2,Bases biológicas,PSI-PRE-002,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,3,Procesos psicológicos básicos I,PSI-PRE-003,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,4,Psicología social,PSI-PRE-004,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,5,Humanismo universidad y cultura,PSI-PRE-005,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,6,Lectura y redacción de textos académicos,PSI-PRE-006,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,7,Psicología de la personalidad,PSI-PRE-007,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,8,Psicología de la familia,PSI-PRE-008,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,1,Procesos psicológicos básicos II,PSI-PRE-009,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,2,Desarrollo de la infancia,PSI-PRE-010,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,3,Estadística básica,PSI-PRE-011,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,4,Psicofisiología,PSI-PRE-012,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,5,"Desarrollo en la adolescencia, madurez y senectud",PSI-PRE-013,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,6,Entrevista psicológica,PSI-PRE-014,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,7,Evaluación psicológica,PSI-PRE-015,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,8,Psicometría,PSI-PRE-016,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,1,Emprendimiento,PSI-PRE-017,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,2,Neuropsicología,PSI-PRE-018,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,3,Diagnóstico psicológico,PSI-PRE-019,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,4,Prácticum 1,PSI-PRE-020,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,5,Psicopatología del niño y del adolescente,PSI-PRE-021,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,6,Métodos de investigación I,PSI-PRE-022,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,7,Redacción de informes psicológicos,PSI-PRE-023,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,8,Psicología de la salud,PSI-PRE-024,Obligatoria,144,3,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,1,Técnicas e instrumentos para la promoción y prevención en diferentes contextos psicológicos,PSI-PRE-025,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
UTPL,Psicología,Presencial,Unidad Profesional,,2,Prácticum 2,PSI-PRE-026,Obligatoria,96,2,https://www.utpl.edu.ec/carreras/sites/default/files/malla%20psicologi%CC%81a%20presencial.pdf
