UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Fundamentos de Administración,ADEO01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Introducción a la Contabilidad,ADEO02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Gestión Económica Empresarial,ADEO03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",1,Matemáticas,ADEO04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,"Derecho Laboral, Mercantil y Societario",ADEO05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Comportamiento y Desarrollo Organizacional,ADEO06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Gestión del Talento Humano,ADEO07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",2,Administración,ADEO08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Educación en Valores y Derechos Ciudadanos,ADEO09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Emprendimiento,ADEO10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
UTM,ADMINISTRACIÓN DE EMPRESAS,EN LÍNEA,REDISEÑO,"Profesionales capaces de generar emprendimientos e innovación, con responsabilidad social, liderazgo y ética, para proponer soluciones a problemas empresariales desde la gestión estratégica, financiera, de talento humano y producción, contribuyendo al desarrollo local y nacional.",3,Estadística Descriptiva,ADEO11,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-administracion-de-empresas-modalidad-en-linea
