UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Teoría General del Estado,DRE01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Estado Plurinacional y Sociología Jurídica,DRE02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Introducción al Derecho,DRE03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Expresión Oral y Redacción Jurídica,DRE04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Historia y Filosofía del Derecho,DRE05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Lógica y Dialéctica Jurídica,DRE06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",1,Derecho Constitucional I,DRE07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",2,Derecho Civil I,DRE08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",2,Metodología de la Investigación,DRE09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
UTM,DERECHO,EN LÍNEA,REDISEÑO,"Formar profesionales con conocimientos en derecho público, privado y social, capaces de litigar, asesorar y resolver conflictos jurídicos con argumentación, investigación y ética, aportando a la justicia y la sociedad.",2,Derechos Humanos y Derecho Internacional Público I,DRE10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-derecho-modalidad-en-linea
