UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",1,Filosofía de la Educación,EDBO01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",1,Entorno Educativo,EDBO02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",1,Etapas del Desarrollo,EDBO03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",1,Expresión Oral y Escrita,EDBO04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",2,Enseñanza de la Comunicación Humana,EDBO05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",2,Fundamentos de la Neuroeducación,EDBO06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",2,Contextos de la Educación Básica,EDBO07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",2,Introducción a la Investigación Científica,EDBO08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",3,Fundamentos Curriculares,EDBO09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",3,Paradigmas y Modelos Educativos,EDBO10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",3,Herramientas Ofimáticas,EDBO11,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",3,Sistema de Funciones: Numérico y de Probabilidades,EDBO12,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",3,Aprendizaje y Enseñanza del Sistema Geométrico y de Medidas,EDBO13,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",4,Investigación Educativa I,EDBO14,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",4,Planificación Curricular,EDBO15,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",4,Convergencia de Medios Educativos,EDBO16,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",4,Evaluación Educativa,EDBO17,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",4,Educación en Valores y Derechos Ciudadanos,EDBO18,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,Didáctica del Lenguaje,EDBO19,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,"Métodos, Estrategias y Recursos en la Básica Elemental",EDBO20,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,Artes Expresivas Musicales y Plásticas,EDBO21,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,Didáctica de la Ciencias Naturales,EDBO22,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,Sociedad y Política Educativa,EDBO23,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,"Realidad Socioeconómica, Cultural y Ecológica del Ecuador",EDBO24,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",5,Psicología Evolutiva,EDBO25,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
UTM,EDUCACIÓN BÁSICA,EN LÍNEA,REDISEÑO,"Profesionales capaces de planificar y ejecutar procesos pedagógicos inclusivos en la Educación General Básica, con dominio de metodologías activas, tecnologías educativas, y liderazgo desde los principios del Buen Vivir.",6,Evaluación de Aprendizajes,EDBO26,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-en-linea
