UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",1,Filosofía de la Educación,EDBP01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",1,Entorno Educativo,EDBP02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",1,Etapas del Desarrollo,EDBP03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",1,Expresión Oral y Escrita,EDBP04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",2,Enseñanza de la Comunicación Humana,EDBP05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",2,Fundamentos de la Neuroeducación,EDBP06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",2,Contextos de la Educación Básica,EDBP07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",2,Introducción a la Investigación Científica,EDBP08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",3,Fundamentos Curriculares,EDBP09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
UTM,EDUCACIÓN BÁSICA,PRESENCIAL,REDISEÑO,"El Licenciado en Ciencias de la Educación será un profesional integral, capaz de desempeñar la docencia y la planificación curricular, utilizando metodologías activas, participativas e inclusivas en las áreas básicas del currículo vigente. Diseñará proyectos educativos y sociales, con conocimiento en tecnologías de la información, la comunicación e idioma inglés, ejerciendo liderazgo pedagógico basado en los principios del Buen Vivir.",3,Paradigmas y Modelos Educativos,EDBP10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-educacion-basica-modalidad-presencial
