UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Comunicación y Lenguaje,PSIO01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Bases Biológicas,PSIO02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Fundamentos Filosóficos y Epistemológicos,PSIO03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Psicología General,PSIO04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Alfabetización Informacional,PSIO05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Introducción a la Investigación,PSIO06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Bases Antropológicas,PSIO07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Teoría y Sistemas de la Psicología,PSIO08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Procesos Psicológicos,PSIO09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Educación en Valores y Derechos Humanos,PSIO10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Estadística,PSIO11,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
UTM,PSICOLOGÍA,EN LÍNEA,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",3,Psicopatología I,PSIO12,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-en-linea
