UNIVERSIDAD_NOMBRE,CARRERA_NOMBRE,CARRERA_MODALIDAD,MALLA_TIPO,PERFIL_EGRESO,PERIODO_CICLO,ASIGNATURA_NOMBRE,ASIGNATURA_CODIGO,ASIGNATURA_TIPO,ASIGNATURA_HORAS,ASIGNATURA_CREDITOS,URL
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Comunicación y Lenguaje,PSIP01,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Bases Biológicas,PSIP02,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Fundamentos Filosóficos y Epistemológicos,PSIP03,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Psicología General,PSIP04,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Alfabetización Informacional,PSIP05,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",1,Introducción a la Investigación,PSIP06,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Bases Antropológicas,PSIP07,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Teoría y Sistemas de la Psicología,PSIP08,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Procesos Psicológicos,PSIP09,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
UTM,PSICOLOGÍA,PRESENCIAL,REDISEÑO,"Profesional con enfoque integral, ético y humanista que interviene en procesos psicosociales, educativos y clínicos para el bienestar de individuos, familias y comunidades, desde la investigación, prevención y orientación psicológica.",2,Educación en Valores y Derechos Humanos,PSIP10,UNIDAD BÁSICA,,,https://www.utm.edu.ec/carrera-de-psicologia-modalidad-presencial
